Date,Description,Amount
2026-05-01,Salary Credited,3500
2026-05-03,Starbucks, -7.45
2026-05-05,Uber Trip, -22.80
2026-05-06,Whole Foods Grocery, -114.26
2026-05-07,Amazon Shopping, -67.99
2026-05-08,Spotify, -9.99
2026-05-09,Electricity Bill, -55.12
2026-05-10,Rent Payment, -1200
2026-05-11,Netflix, -13.99
2026-05-13,Shell Petrol, -42.50
2026-05-14,Water Bill, -32.80
2026-05-15,Airtel Recharge, -24.00
2026-05-17,Refund Credited, 18.50
2026-05-18,Clinic Visit, -78.20
2026-05-19,Dominos Pizza, -25.90
2026-05-20,Indigo Airlines, -142.00
2026-05-21,BigBasket Grocery, -98.35
2026-06-01,Salary Credited,3500
2026-06-03,Starbucks, -11.20
2026-06-04,Netflix, -13.99
2026-06-05,Prime Video, -7.99
2026-06-06,DMart Groceries, -89.60
2026-06-08,Gas Bill, -48.70
2026-06-09,Landlord Rent, -1200
2026-06-10,Uber Trip, -18.10
2026-06-11,Apple Store Shopping, -129.00
2026-06-12,Spotify, -9.99
2026-06-13,Broadband Bill, -65.00
2026-06-14,Clinic Pharmacy, -23.45
2026-06-15,Refund Credited, 32.00
2026-06-16,Amazon Shopping, -43.12
